acl;2.3.1;https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz;95ce715fe09acca7c12d3306d0f076b2;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/acl-@.tar.xz
attr;2.5.1;https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz;ac1c5a7a084f0f83b8cace34211f64d8;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/attr-@.tar.gz
autoconf;2.71;https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz;12cfa1687ffa2606337efe1a64416106;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/autoconf-@.tar.xz
automake;1.16.5;https://ftp.gnu.org/gnu/automake/automake-@.tar.xz;4017e96f89fca45ca946f1c5db6be714;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/automake-@.tar.xz
bash;5.2.15;https://ftp.gnu.org/gnu/bash/bash-@.tar.gz;4281bb43497f3905a308430a8d6a30a5;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/bash-@.tar.gz
bc;6.2.4;https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz;5245ff400df17b66be7621c7a6498953;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/bc-@.tar.xz
binutils;2.40;https://sourceware.org/pub/binutils/releases/binutils-@.tar.xz;007b59bd908a737c06e5a8d3d2c737eb;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/binutils-@.tar.xz
bison;3.8.2;https://ftp.gnu.org/gnu/bison/bison-@.tar.xz;c28f119f405a2304ff0a7ccdcc629713;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/bison-@.tar.xz
bzip2;1.0.8;https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz;67e051268d0c475ea773822f7500d0e5;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/bzip2-@.tar.gz
bzip2-patch;1.0.8;https://www.linuxfromscratch.org/patches/lfs/11.3/bzip2-@-install_docs-1.patch;6a5ac7e89b791aae556de0f745916f7f;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/bzip2-@-install_docs-1.patch
check;0.15.2;https://github.com/libcheck/check/releases/download/@/check-@.tar.gz;50fcafcecde5a380415b12e9c574e0b2;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/check-@.tar.gz
coreutils;9.1;https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz;8b1ca4e018a7dce9bb937faec6618671;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/coreutils-@.tar.xz
coreutils-patch;9.1;https://www.linuxfromscratch.org/patches/lfs/11.3/coreutils-@-i18n-1.patch;c1ac7edf095027460716577633da9fc5;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/coreutils-@-i18n-1.patch
dejagnu;1.6.3;https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz;68c5208c58236eba447d7d6d1326b821;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/dejagnu-@.tar.gz
diffutils;3.9;https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz;cf0a65266058bf22fe3feb69e57ffc5b;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/diffutils-@.tar.xz
e2fsprogs;1.47.0;https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz;6b4f18a33873623041857b4963641ee9;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/e2fsprogs-@.tar.gz
elfutils;0.188;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2;efb25a91873b2eec4df9f31e6a4f4e5c;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/elfutils-@.tar.bz2
eudev;3.2.11;https://github.com/eudev-project/eudev/releases/download/v@/eudev-@.tar.gz;417ba948335736d4d81874fba47a30f7;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/eudev-@.tar.gz
expat;2.5.0;https://prdownloads.sourceforge.net/expat/expat-@.tar.xz;ac6677b6d1b95d209ab697ce8b688704;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/expat-@.tar.xz
expect;5.45.4;https://prdownloads.sourceforge.net/expect/expect@.tar.gz;00fce8de158422f5ccd2666512329bd2;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/expect@.tar.gz
file;5.44;https://astron.com/pub/file/file-@.tar.gz;a60d586d49d015d842b9294864a89c7a;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/file-@.tar.gz
findutils;4.9.0;https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz;4a4a547e888a944b2f3af31d789a1137;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/findutils-@.tar.xz
flex;2.6.4;https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz;2882e3179748cc9f9c23ec593d6adc8d;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/flex-@.tar.gz
gawk;5.2.1;https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz;02956bc5d117a7437bb4f7039f23b964;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/gawk-@.tar.xz
gcc;12.2.0;https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz;73bafd0af874439dcdb9fc063b6fb069;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/gcc-@.tar.xz
gdbm;1.23;https://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz;8551961e36bf8c70b7500d255d3658ec;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/gdbm-@.tar.gz
gettext;0.21.1;https://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz;27fcc8a42dbc8f334f23a08f1f2fe00a;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/gettext-@.tar.xz
glibc;2.37;https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz;e89cf3dcb64939d29f04b4ceead5cc4e;https://ftp.wrz.de/pub/LFS/lfs-packages/11.3/glibc-@.tar.xz
